filename,mag_x_mean,mag_x_std,mag_y_mean,mag_y_std,mag_z_mean,mag_z_std,force_x_mean,force_x_std,force_y_mean,force_y_std,force_z_mean,force_z_std,torque_x_mean,torque_x_std,torque_y_mean,torque_y_std,torque_z_mean,torque_z_std
1_ser.csv,-14.086363636363636,2.4931152557888168,-30.561363636363637,5.0277932608646285,234.7568181818182,0.7247767025083951,5.028400011062622,0.2671723593750662,-1.7755999994277953,0.3189341951669298,-15.237200031280517,0.28676979853468393,-0.6517000043392182,0.009642064987434267,-0.11412000000476835,0.008551501140002695,0.27105999886989596,0.00801951582987751
2_ser.csv,-17.2425,2.34235116375811,-31.897499999999997,2.351593840301421,250.21000000000004,7.777080066385739,5.116799964904785,0.2202172790185753,-2.105600004196167,0.3906883561694769,-17.712400016784667,0.3119103084125977,-0.612759997844696,0.009104965514828742,-0.09403999984264372,0.007136311573006155,0.2712299996614456,0.008492018535396526
3_ser.csv,-22.88611111111111,4.6233044940220465,-30.216666666666665,5.48522691287373,272.6166666666666,6.530827993885177,5.393999986648559,0.2700944368450297,-2.1215999794006346,0.304573028505557,-20.43240001678467,0.3425926447420465,-0.5452800011634826,0.008762256748204382,-0.07544000029563903,0.008545580270236181,0.2731099998950958,0.00669472004191201
4_ser.csv,-27.3675,2.4314591482777557,-28.9125,2.5952804798770344,290.0225,7.767601599939623,5.467599992752075,0.2819434028570388,-2.3847999954223633,0.360465924049586,-23.84359992980957,0.29267779447234643,-0.47250999927520754,0.008836664664865755,-0.06893000021576881,0.009519588058987382,0.2728199994564056,0.008546844865645446
5_ser.csv,-31.947499999999998,2.6273695044322394,-26.3975,1.7632265732792118,306.41749999999996,6.305995824081499,5.526399993896485,0.22320266102407568,-2.561600003242493,0.3131887279810258,-27.77760005950928,0.31930121855981575,-0.410689999461174,0.007483240492913263,-0.08339999958872793,0.008530856139884383,0.2734699982404709,0.008775202847004088
6_ser.csv,-34.87073170731708,2.9503596308279962,-25.143902439024387,2.5536296501732396,322.5853658536585,6.349392135299637,5.486274522893569,0.24306345150825934,-2.8494117540471695,0.304955160679922,-31.812157088635015,0.4047337841943819,-0.35302941355050776,0.008998563970791955,-0.08769607836124944,0.007260219189036183,0.2762843136693917,0.007239651189324854
7_ser.csv,-38.49487179487179,7.009577985568209,-21.220512820512823,4.193238886788279,338.2435897435898,6.35609094001862,5.621599998474121,0.25448914331350103,-3.0016000080108642,0.30155622877508553,-36.093600006103514,0.3195005363527022,-0.2893600004911423,0.008214618203128094,-0.09651000022888181,0.007979238885811557,0.27875000059604643,0.008407509152723456
8_ser.csv,-45.264705882352935,1.857643073806515,-19.41764705882353,2.0955176677614,355.0911764705883,3.9265504675191765,5.661200008392334,0.20993330423139314,-3.2184000158309938,0.35006331561541065,-40.095199813842775,0.27293025990893466,-0.2251500004529953,0.010536743667276742,-0.09901000022888182,0.00730912928036231,0.2776999992132187,0.007928892506848991
9_ser.csv,-49.24634146341464,8.381560044555421,-17.13170731707317,3.6705884422249144,368.70731707317066,6.270581721176371,5.6968000125885006,0.25549822169865727,-3.4303999853134157,0.30968686430209585,-43.95519973754883,0.2803076549585592,-0.15109999984502792,0.009495970056790452,-0.11594999954104422,0.006434322712650896,0.2799799996614456,0.0072667532578582425
10_ser.csv,-56.9951219512195,2.972452793528619,-14.504878048780483,2.250994360223077,383.8682926829269,6.6677747046668525,5.749200000762939,0.22194724782854638,-3.729200005531311,0.38371355340351165,-47.9771997833252,0.30743210399042464,-0.06770000055432318,0.008091315975170313,-0.12690000072121618,0.00844671174638753,0.28040000081062316,0.00663017022731443
11_ser.csv,-64.26585365853657,2.8373940293954223,-11.665853658536584,2.7624816520745945,400.27073170731705,6.63246725971712,5.911600017547608,0.23512360887458836,-3.8967999792099,0.3115297017225425,-51.950800018310545,0.2774877906556971,0.025990000143647152,0.007556245093704593,-0.13268999963998793,0.008659599220119545,0.2841799992322922,0.008203260004768568
12_ser.csv,-72.64210526315789,4.004634583926774,-8.571052631578945,2.723660880460276,417.7578947368421,6.603587541711906,5.975999994277954,0.2669556054874652,-4.239999995231629,0.26902698980467704,-55.93480026245117,0.2732961596460137,0.1284999997913837,0.007543749019417285,-0.14445000052452087,0.008119169106306072,0.2846599996089935,0.007713254525734181
13_ser.csv,-81.57317073170732,4.410953660504943,-6.946341463414634,2.065683610935568,433.009756097561,6.222893413760545,6.032399969100952,0.22799535082755856,-4.520400004386902,0.3496818567045622,-59.83879989624023,0.258201095582643,0.24328000128269195,0.007909671005220267,-0.15222000032663344,0.0075242191659196855,0.2858600002527237,0.007141456232612418
14_ser.csv,-91.0820512820513,15.51476159212441,-4.9179487179487165,2.059365231132079,451.2076923076923,6.27616144065382,6.213200025558471,0.2666683367666222,-4.822399988174438,0.2957837281750462,-63.83359992980957,0.28800333639157516,0.3685999995470047,0.007423075954741837,-0.1624799996614456,0.008042590573589406,0.28865999937057496,0.008819877058431597
15_ser.csv,-102.6421052631579,17.633485215733312,-4.084210526315789,2.657729809116152,469.0289473684211,6.683457104075694,6.3484000396728515,0.2292878068137083,-5.163200016021729,0.28592448561291656,-67.91559997558593,0.33724789904866637,0.5086000007390976,0.0073664969330682045,-0.17293999999761578,0.008314384706203269,0.2892600005865097,0.008890053910637217
