timestamp,x,y,z
2025-04-25 18:56:25,1.2,-53.0,265.8
2025-04-25 18:56:25,7.2,-55.2,267.0
2025-04-25 18:56:26,6.0,-55.2,265.5
2025-04-25 18:56:26,2.5,-56.0,265.8
2025-04-25 18:56:27,0.2,-56.0,266.2
2025-04-25 18:56:27,6.8,-55.0,266.2
2025-04-25 18:56:28,0.8,-52.8,266.0
2025-04-25 18:56:28,2.5,-54.2,266.2
2025-04-25 18:56:29,3.8,-48.2,266.0
2025-04-25 18:56:30,6.0,-55.0,266.8
2025-04-25 18:56:30,1.5,-52.8,266.5
2025-04-25 18:56:31,1.8,-60.0,266.2
2025-04-25 18:56:31,5.8,-55.2,265.8
2025-04-25 18:56:32,0.8,-53.0,266.5
2025-04-25 18:56:32,2.8,-55.2,266.2
2025-04-25 18:56:33,2.5,-53.5,265.8
2025-04-25 18:56:33,6.2,-53.2,265.8
2025-04-25 18:56:34,7.5,-55.2,265.5
2025-04-25 18:56:34,3.0,-55.8,265.8
2025-04-25 18:56:35,2.5,-54.2,266.0
