timestamp,x,y,z
2025-04-30 20:48:23,-183.8,-94.8,100.0
2025-04-30 20:48:23,-177.8,-102.5,103.5
2025-04-30 20:48:23,-176.5,-101.2,103.0
2025-04-30 20:48:23,-184.0,-97.5,103.0
2025-04-30 20:48:23,-183.5,-98.0,99.2
2025-04-30 20:48:23,-177.0,-99.2,99.0
2025-04-30 20:48:23,-177.0,-98.2,99.0
2025-04-30 20:48:23,-177.8,-98.0,98.5
2025-04-30 20:48:23,-183.8,-98.8,94.2
2025-04-30 20:48:23,-182.0,-99.8,92.5
2025-04-30 20:48:23,-181.0,-96.5,93.8
2025-04-30 20:48:23,-177.5,-98.5,92.2
2025-04-30 20:48:23,-183.8,-97.0,88.5
2025-04-30 20:48:23,-179.8,-98.8,95.5
2025-04-30 20:48:23,-177.5,-100.0,90.2
2025-04-30 20:48:23,-183.2,-98.0,89.2
2025-04-30 20:48:24,-177.5,-98.0,89.8
2025-04-30 20:48:24,-177.8,-96.2,89.2
2025-04-30 20:48:25,-176.2,-99.0,90.0
2025-04-30 20:48:25,-177.8,-97.8,89.2
2025-04-30 20:48:26,-181.0,-96.5,89.2
2025-04-30 20:48:26,-173.8,-98.0,89.2
2025-04-30 20:48:27,-176.8,-100.8,88.0
2025-04-30 20:48:27,-179.2,-96.5,84.5
2025-04-30 20:48:28,-177.0,-98.8,87.8
2025-04-30 20:48:28,-177.8,-99.2,91.5
2025-04-30 20:48:29,-180.0,-97.2,87.8
2025-04-30 20:48:29,-184.0,-96.5,87.2
2025-04-30 20:48:30,-175.2,-96.5,87.0
2025-04-30 20:48:30,-177.5,-97.8,87.2
2025-04-30 20:48:31,-179.2,-95.2,86.2
2025-04-30 20:48:31,-179.5,-100.8,86.5
2025-04-30 20:48:32,-175.2,-99.2,85.8
2025-04-30 20:48:32,-175.2,-96.8,86.5
2025-04-30 20:48:33,-179.8,-98.5,86.0
