timestamp,x,y,z
2025-04-30 21:36:33,-107.8,-6.8,471.5
2025-04-30 21:36:33,-105.0,-4.5,471.8
2025-04-30 21:36:33,-110.5,-1.8,471.5
2025-04-30 21:36:33,-106.8,-1.2,470.5
2025-04-30 21:36:33,-110.8,-7.8,471.5
2025-04-30 21:36:33,-108.5,-5.2,471.5
2025-04-30 21:36:33,-111.0,-5.0,468.5
2025-04-30 21:36:33,-111.2,-5.0,468.2
2025-04-30 21:36:33,-113.0,1.5,480.8
2025-04-30 21:36:33,-119.0,0.0,491.8
2025-04-30 21:36:33,-119.2,-2.2,489.0
2025-04-30 21:36:33,-122.8,-2.2,489.5
2025-04-30 21:36:33,-122.5,-3.8,488.5
2025-04-30 21:36:33,-123.8,2.5,489.0
2025-04-30 21:36:33,-120.2,-6.0,489.0
2025-04-30 21:36:33,-121.8,-4.0,489.5
2025-04-30 21:36:33,-120.2,-3.8,489.8
2025-04-30 21:36:33,-121.5,-5.0,488.5
2025-04-30 21:36:33,-120.2,-1.2,488.8
2025-04-30 21:36:33,-118.2,-2.8,489.0
2025-04-30 21:36:33,-121.8,-3.2,488.8
2025-04-30 21:36:33,-120.2,-3.8,488.8
2025-04-30 21:36:33,-121.0,-2.5,488.5
2025-04-30 21:36:34,-122.2,-3.5,488.2
2025-04-30 21:36:34,-122.8,-2.0,488.2
2025-04-30 21:36:35,-121.2,-3.5,489.0
2025-04-30 21:36:35,-121.8,-2.8,488.5
2025-04-30 21:36:36,-123.5,-7.2,488.0
2025-04-30 21:36:36,-120.8,-3.2,488.5
2025-04-30 21:36:37,-120.2,-5.5,489.5
2025-04-30 21:36:37,-121.0,-0.5,488.5
2025-04-30 21:36:38,-123.5,-0.2,489.5
2025-04-30 21:36:38,-121.8,-1.2,489.0
2025-04-30 21:36:39,-123.0,-8.0,489.0
2025-04-30 21:36:39,-120.2,-3.5,490.2
2025-04-30 21:36:40,-121.8,-7.0,488.5
2025-04-30 21:36:40,-121.2,-5.2,489.8
2025-04-30 21:36:41,-121.0,-4.2,489.0
2025-04-30 21:36:41,-122.0,-5.5,489.2
2025-04-30 21:36:42,-121.5,-7.2,488.8
2025-04-30 21:36:43,-122.8,-7.2,489.5
